"","modelGrid","subGrid","year","totalCells","treeCells","maskedCells"
"1","X12-115","1203",2020,10410302,1312353,807616
"2","X12-131","2572",2020,10413529,526601,7166
"3","X12-131","6188",2020,10410302,667473,0
"4","X12-150","12632",2020,10410302,744625,262839
"5","X12-183","12000",2020,10413529,129777,4619
"6","X12-300","13638",2020,10413529,64989,0
"7","X12-307","5551",2020,10410302,204027,0
"8","X12-318","12877",2020,10413529,1626264,204918
"9","X12-32","8690",2020,10410302,134216,0
"10","X12-356","9472",2020,10413529,22823,8103
"11","X12-356","20332",2020,10410302,2,0
"12","X12-361","19763",2020,10413529,64397,17415
"13","X12-388","10880",2020,10413529,2066,0
"14","X12-440","23945",2020,10413529,47265,0
"15","X12-519","28032",2020,10413529,3922513,2179644
"16","X12-602","16513",2020,10410302,784988,63282
"17","X12-602","24675",2020,10410302,481524,81428
"18","X12-615","24161",2020,10077921,92846,0
"19","X12-615","26298",2020,10407076,2512272,1487799
"20","X12-624","23950",2020,10413529,1538,0
"21","X12-633","27938",2020,10410302,1022118,563765
"22","X12-642","23457",2020,10410302,320959,19329
"23","X12-677","25518",2020,10410302,129837,25183
"24","X12-709","23306",2020,10413529,216417,0
"25","X12-83","5238",2020,10413529,69764,0
"26","X12-91","1325",2020,10410302,367386,0
"27","X12-99","7729",2020,10413529,829511,72385
