"","gridID","presence","year","predictedValue"
"1","X12-115",1,"2016",1
"2","X12-115",1,"2016",1
"3","X12-115",1,"2016",1
"4","X12-115",1,"2016",1
"5","X12-115",1,"2016",0
"6","X12-115",1,"2016",1
"7","X12-115",1,"2016",1
"8","X12-115",1,"2016",1
"9","X12-115",1,"2016",1
"10","X12-115",1,"2016",1
"11","X12-115",1,"2016",1
"12","X12-115",1,"2016",0
"13","X12-115",1,"2016",1
"14","X12-115",1,"2016",1
"15","X12-115",1,"2016",1
"16","X12-115",1,"2016",1
"17","X12-115",1,"2016",1
"18","X12-115",1,"2016",1
"19","X12-115",1,"2016",1
"20","X12-115",1,"2016",1
"21","X12-115",1,"2016",1
"22","X12-115",1,"2016",1
"23","X12-115",1,"2016",1
"24","X12-115",1,"2016",1
"25","X12-115",1,"2016",1
"26","X12-115",1,"2016",1
"27","X12-115",1,"2016",1
"28","X12-115",1,"2016",1
"29","X12-115",1,"2016",1
"30","X12-115",1,"2016",1
"31","X12-115",1,"2016",1
"32","X12-115",1,"2016",1
"33","X12-115",1,"2016",1
"34","X12-115",1,"2016",1
"35","X12-115",1,"2016",1
"36","X12-115",1,"2016",1
"37","X12-115",1,"2016",1
"38","X12-115",1,"2016",1
"39","X12-115",0,"2016",0
"40","X12-115",0,"2016",0
"41","X12-115",0,"2016",0
"42","X12-115",0,"2016",0
"43","X12-115",0,"2016",0
"44","X12-115",0,"2016",0
"45","X12-115",0,"2016",0
"46","X12-115",0,"2016",0
"47","X12-115",0,"2016",0
"48","X12-115",0,"2016",0
"49","X12-115",0,"2016",0
"50","X12-115",0,"2016",0
"51","X12-115",0,"2016",0
"52","X12-115",0,"2016",0
"53","X12-115",0,"2016",0
"54","X12-115",0,"2016",0
"55","X12-115",0,"2016",0
"56","X12-115",0,"2016",0
"57","X12-115",0,"2016",0
"58","X12-115",0,"2016",0
"59","X12-115",0,"2016",0
"60","X12-115",0,"2016",0
"61","X12-115",0,"2016",0
"62","X12-115",0,"2016",0
"63","X12-115",0,"2016",0
"64","X12-115",0,"2016",0
"65","X12-115",0,"2016",0
"66","X12-115",0,"2016",0
"67","X12-115",0,"2016",0
"68","X12-115",0,"2016",0
"69","X12-115",0,"2016",0
"70","X12-115",0,"2016",0
"71","X12-115",0,"2016",0
"72","X12-115",0,"2016",0
"73","X12-115",0,"2016",0
"74","X12-115",0,"2016",0
"75","X12-115",0,"2016",0
"76","X12-115",0,"2016",0
"77","X12-115",0,"2016",0
"78","X12-115",0,"2016",0
"79","X12-115",0,"2016",0
"80","X12-115",0,"2016",0
"81","X12-115",0,"2016",0
"82","X12-115",0,"2016",0
"83","X12-115",0,"2016",0
"84","X12-131",1,"2016",1
"85","X12-131",1,"2016",1
"86","X12-131",1,"2016",1
"87","X12-131",1,"2016",1
"88","X12-131",1,"2016",1
"89","X12-131",1,"2016",1
"90","X12-131",1,"2016",1
"91","X12-131",1,"2016",1
"92","X12-131",1,"2016",1
"93","X12-131",1,"2016",1
"94","X12-131",1,"2016",1
"95","X12-131",1,"2016",1
"96","X12-131",1,"2016",0
"97","X12-131",1,"2016",1
"98","X12-131",1,"2016",1
"99","X12-131",1,"2016",1
"100","X12-131",1,"2016",1
"101","X12-131",0,"2016",0
"102","X12-131",0,"2016",0
"103","X12-131",0,"2016",0
"104","X12-131",0,"2016",0
"105","X12-131",0,"2016",0
"106","X12-131",0,"2016",0
"107","X12-131",0,"2016",0
"108","X12-131",0,"2016",0
"109","X12-131",0,"2016",0
"110","X12-131",0,"2016",0
"111","X12-131",0,"2016",0
"112","X12-131",0,"2016",0
"113","X12-131",0,"2016",0
"114","X12-131",0,"2016",0
"115","X12-131",0,"2016",0
