"","year","gridID","totalPresence","totalAbsense","modelPresence","modelAbsense","Accuracy","Kappa","Sensitivity","Specificity"
"1","2010","X12-115",50,43,45,48,0.946236559139785,0.892733564013841,1,0.895833333333333
"2","2010","X12-131",24,22,21,25,0.934782608695652,0.870056497175141,1,0.88
"3","2010","X12-150",62,99,50,111,0.900621118012422,0.782285327924273,0.96,0.873873873873874
"4","2010","X12-183",56,53,54,55,0.963302752293578,0.926624032312353,0.981481481481482,0.945454545454545
"5","2010","X12-207",67,67,53,81,0.895522388059702,0.791044776119403,1,0.827160493827161
"6","2010","X12-278",67,69,35,101,0.647058823529412,0.289043781311261,0.771428571428571,0.603960396039604
"7","2010","X12-281",63,6,25,44,0.449275362318841,0.102669404517454,1,0.136363636363636
"8","2010","X12-297",0,80,8,72,0.9,0,0,1
"9","2010","X12-440",129,57,115,148,0.834862385321101,0.665073403892113,0.947368421052632,0.774647887323944
"10","2010","X12-307",0,69,2,67,0.971014492753623,0,0,1
"11","2010","X12-318",80,79,75,84,0.943396226415094,0.886832740213523,0.973333333333333,0.916666666666667
"12","2010","X12-32",60,88,37,111,0.790540540540541,0.537313432835821,0.891891891891892,0.756756756756757
"13","2010","X12-356",58,85,58,85,0.888111888111888,0.767951318458418,0.862068965517241,0.905882352941176
"14","2010","X12-361",33,0,33,0,1,NA,1,NA
"15","2010","X12-388",41,0,41,0,1,NA,1,NA
"16","2010","X12-519",36,33,31,38,0.927536231884058,0.855708908406524,1,0.868421052631579
"17","2010","X12-588",0,87,3,84,0.96551724137931,0,0,1
"18","2010","X12-594",0,76,3,73,0.960526315789474,0,0,1
"19","2010","X12-601",77,87,164,162,1,NA,1,NA
"20","2010","X12-602",38,33,38,33,1,1,1,1
"21","2010","X12-615",37,40,35,42,0.948051948051948,0.895734597156398,0.971428571428571,0.928571428571429
"22","2010","X12-624",40,38,38,40,0.974358974358974,0.948751642575558,1,0.95
"23","2010","X12-633",49,43,29,63,0.782608695652174,0.57544993077988,1,0.682539682539683
"24","2010","X12-635",68,102,37,133,0.770588235294118,0.482758620689655,0.891891891891892,0.736842105263158
"25","2010","X12-642",45,46,44,47,0.989010989010989,0.97801401304663,1,0.978723404255319
"26","2010","X12-661",55,75,62,68,0.884615384615385,0.767580452920143,0.82258064516129,0.941176470588235
"27","2010","X12-677",74,0,68,6,0.918918918918919,0,1,0
"28","2010","X12-696",60,76,48,88,0.897058823529412,0.78673835125448,0.979166666666667,0.852272727272727
"29","2010","X12-709",0,73,0,73,1,NA,NA,1
"30","2010","X12-727",0,35,1,34,0.971428571428571,0,0,1
"31","2010","X12-83",32,40,31,41,0.986111111111111,0.971786833855799,1,0.975609756097561
"32","2010","X12-91",40,51,38,53,0.978021978021978,0.955150320354855,1,0.962264150943396
"33","2010","X12-99",48,39,46,41,0.977011494252874,0.953748006379585,1,0.951219512195122
"34","2016","X12-115",38,45,36,47,0.975903614457831,0.951262477980035,1,0.957446808510638
"35","2016","X12-131",17,20,16,21,0.972972972972973,0.945347119645495,1,0.952380952380952
"36","2016","X12-150",56,59,50,65,0.930434782608696,0.860394537177542,0.98,0.892307692307692
"37","2016","X12-183",69,52,63,58,0.933884297520661,0.866996427589997,0.984126984126984,0.879310344827586
"38","2016","X12-207",65,73,47,91,0.869565217391304,0.734217847207361,1,0.802197802197802
"39","2016","X12-278",69,66,61,74,0.837037037037037,0.674770039421813,0.885245901639344,0.797297297297297
"40","2016","X12-281",53,2,29,26,0.563636363636364,0.0807799442896937,1,0.0769230769230769
"41","2016","X12-297",0,70,2,68,0.971428571428571,0,0,1
"42","2016","X12-440",105,67,90,137,0.854700854700855,0.691388673390225,0.971428571428571,0.804878048780488
"43","2016","X12-307",0,75,1,74,0.986666666666667,0,0,1
"44","2016","X12-318",76,59,74,61,0.985185185185185,0.970006665185514,1,0.967213114754098
"45","2016","X12-32",59,82,28,113,0.780141843971631,0.512328461452639,1,0.725663716814159
"46","2016","X12-356",66,95,67,94,0.968944099378882,0.935953536478638,0.955223880597015,0.978723404255319
"47","2016","X12-361",37,0,36,1,0.972972972972973,0,1,0
"48","2016","X12-388",33,0,33,0,1,NA,1,NA
"49","2016","X12-519",43,49,41,51,0.956521739130435,0.912422655878153,0.975609756097561,0.941176470588235
"50","2016","X12-594",0,94,0,94,1,NA,NA,1
"51","2016","X12-601",84,87,169,170,0.333333333333333,0,1,0
"52","2016","X12-602",44,40,42,42,0.976190476190476,0.952380952380952,1,0.952380952380952
"53","2016","X12-615",37,41,21,57,0.794871794871795,0.57979797979798,1,0.719298245614035
"54","2016","X12-624",41,39,41,39,1,1,1,1
"55","2016","X12-633",41,40,39,42,0.975308641975309,0.950639853747715,1,0.952380952380952
"56","2016","X12-635",63,100,64,99,0.846625766871166,0.677534224895149,0.796875,0.878787878787879
"57","2016","X12-642",44,51,42,53,0.978947368421053,0.957532409476978,1,0.962264150943396
"58","2016","X12-661",60,83,60,83,1,1,1,1
"59","2016","X12-677",52,0,49,3,0.942307692307692,0,1,0
