COT4,COT3and4,COT9
51.05586488,33.93001731,29.88782347
25.38059672,17.50093983,26.42007723
23.79570142,68.0477296,44.36339637
39.09327834,57.49166606,78.50468443
62.60671256,42.60445775,42.35898218
20.50172447,35.88385058,27.28827574
22.60101493,18.14075595,18.95626977
25.23820718,25.05391875,24.74708116
61.65077799,34.91570843,47.17364269
16.70516095,17.48265906,30.69753968
33.75132154,42.54801496,53.26560077
35.54586124,118.8601218,44.90938767
45.77112326,47.82755341,72.00345638
45.89608835,42.31697716,53.81057007
69.87642076,16.97368973,63.07438744
30.37638638,21.26093596,28.23681808
15.18665992,27.19501347,52.14961466
44.20064174,31.5927517,57.0512391
64.22540451,69.53943618,28.73655087
34.30692129,12.72263409,58.23560527
26.44557678,19.93663137,52.02238655
19.5202015,46.81298504,35.60548449
35.83877366,50.67692843,28.82071686
40.89029287,27.63124465,18.41684042
11.29447823,53.5703922,28.86218941
31.29039446,22.05100461,29.76368013
56.72534247,17.90215196,34.63073579
32.97311441,24.60176724,32.29467871
17.75141914,23.86553698,42.01600713
37.75766753,20.82483321,15.86972669
40.73407159,23.54680991,32.1852733
21.14346061,33.87192052,18.90849944
100.6110393,41.84094477,27.33552153
37.19623381,17.45621311,85.29589629
61.11029369,27.55594487,51.24652975
23.81095629,44.58946715,14.49299753
29.02700459,19.69153434,40.09790561
48.5920573,39.17873223,39.33621952
29.32189946,68.28897797,44.28322782
28.49391663,22.0631838,14.1897346
44.28604507,27.48272547,29.16199038
29.91235583,34.71286319,38.93133087
41.13908009,23.06279976,31.5003467
42.36791196,35.25662885,23.10480824
53.90555422,16.03862808,29.17277528
45.7130191,28.01134088,51.9255702
20.20906185,55.15906836,10.04845931
55.49710946,34.3682789,46.87366207
26.91086593,51.83274245,110.0977264
27.67286674,23.82834039,18.11322225
58.0896358,30.57481533,45.03648348
39.25666011,56.33078391,28.59749991
36.2921272,14.71989085,36.51993574
106.1940735,24.11265341,35.45273719
53.57984389,55.00594133,26.98709933
36.10276943,22.31580471,21.2774885
46.14257858,47.29444164,72.35481669
16.93534816,41.89119508,26.34158735
19.77619012,46.97836328,42.21885346
22.71612827,20.42484799,64.87296239
34.48267455,18.55270047,35.36701974
37.31172771,56.72563674,23.91329546
21.41509065,28.24341949,49.52695653
20.02874141,51.54544093,14.78963332
42.78633501,31.98566466,23.5818601
43.0000021,25.62127133,75.51311204
43.09578587,25.26257517,35.44370467
22.70998621,46.98441304,37.09543728
45.0288744,38.17693797,25.53035583
19.28475411,51.88322024,51.8083959
86.96907053,32.26046497,25.0817168
24.94079048,23.61796298,39.13904607
31.6858614,45.04354578,38.66358956
46.49821577,28.14493481,40.51013087
17.78271223,22.93073207,42.24045909
50.83442707,15.01368545,24.98508046
59.41915255,16.95970429,35.49927743
30.58265102,50.9504675,37.40207247
24.30301359,17.91017107,33.70490043
21.91871606,22.27182203,14.52682275
37.11502758,23.32303763,45.16950103
40.72095675,41.93103921,21.5005054
12.08648957,15.33907393,19.85529061
17.53980055,35.08472912,83.70899902
50.9991195,16.68794425,47.61387525
24.23233805,69.27186563,22.54327906
22.98776204,23.17492818,26.58304034
86.9828132,39.11922253,63.42847985
45.69930982,39.23011879,18.97557128
38.90011057,35.4313896,50.88064215
32.18558536,29.886417,45.38587068
45.19200081,20.03184019,59.97737866
24.87640095,25.26468707,16.28796343
23.36863429,16.34781953,45.36646555
26.82371081,55.08181151,46.88513674
17.62770879,15.57748557,32.68541688
42.49456321,25.40417434,59.32022182
11.01249976,24.11522695,57.39939597
74.22470142,31.69431192,53.61301606
31.99890983,19.01764008,34.9505477
40.82872892,40.58822915,59.0222224
12.09749413,26.32119459,36.87159835
43.87814811,20.53877931,51.57796174
28.09498155,28.33053481,27.78475658
27.04062404,23.17498932,37.80401489
57.36867899,20.16334695,30.69940873
57.6022443,19.40804828,44.88961494
24.51638596,31.97327492,27.9280274
34.30046673,36.44007788,54.45316581
18.85222622,26.71521091,38.71900125
45.22683484,27.25211403,65.37202639
64.69916656,30.20306557,27.66475847
23.48411976,36.50119344,23.11824993
39.11501314,9.580372371,25.644794
22.02890686,22.02356298,31.29209539
13.05445593,24.42338602,50.48440352
38.32001499,26.77597861,26.83686134
50.2964992,18.34577888,20.28285175
26.81467381,28.13110817,32.11020869
45.99941217,9.170621535,64.36508248
29.33115725,33.10985474,29.55942012
20.82980642,31.48848612,29.81197167
48.62123564,34.98662566,38.83188114
43.65708266,20.6293714,54.76316516
26.36316342,71.80064932,29.79943763
32.01110419,15.41598452,50.98479074
23.9411412,16.04316899,26.74923236
40.35104904,16.50727461,59.3362717
11.7831957,15.57455625,67.40615955
43.57323189,52.79093921,26.28464072
40.80307132,53.24349325,61.5473573
48.35654918,21.65761694,41.42728101
38.25480581,27.06786174,36.91061804
28.22553,64.54606028,37.69996302
34.46587618,19.49660361,64.89867219
24.87925043,70.91348766,12.96937443
47.96150676,62.78611197,36.38793558
30.93692839,36.89894508,61.21386712
17.67985231,24.28279589,16.73276015
40.42171581,40.14872465,20.76164848
80.08976778,47.59188054,27.20866142
46.62005352,27.63384096,48.42482431
16.46934117,60.17355114,64.19917561
18.63356261,19.48855592,75.87488609
21.73200816,29.44556201,45.9319169
23.2579064,64.81142082,29.35231639
34.17753159,28.01670844,30.12237444
12.06893299,31.52584219,34.56131268
39.85410805,21.04904584,83.15160103
29.36380117,16.43742994,28.10385114
14.23619166,85.63627209,45.07157566
17.9267528,35.26041811,53.73944761
15.05073298,30.11366227,30.61107437
30.31497666,48.64063809,29.2667114
55.66820203,47.11607135,46.74109862
22.59819438,66.9478608,68.11863109
32.75246596,18.94707896,21.06674598
29.2743709,22.8958149,43.1938033
21.02418479,35.19179811,23.93371057
43.4726383,32.98367108,79.99271646
62.20030238,60.62920302,53.34149074
28.06387372,42.25699455,22.69335758
38.97972827,27.87639169,40.80814317
29.97027576,12.21958033,35.05052522
70.74320544,55.3464248,30.74820841
67.78774748,28.58251517,67.49303994
36.39109531,42.12996711,44.50390203
21.7259768,17.78714148,42.2172845
61.38541968,47.74733554,45.93389811
34.93618059,54.93419138,56.17595728
12.18337001,14.01134674,41.97618118
30.82023962,20.31269097,60.81919783
14.36071648,34.73747883,36.32744209
36.0502945,37.93116101,43.63279807
45.0824178,40.68948187,38.23352499
31.38300078,54.15859116,46.91353724
42.15374803,31.62749742,45.74292798
27.56571789,69.13033452,30.66107416
29.03320412,55.19586935,34.7380143
67.72990344,15.19592029,62.52836672
41.49606211,56.57117817,21.20465617
23.07932372,19.1276284,28.32527757
25.13695146,34.10850911,33.71223512
56.93030158,88.35592901,30.4828788
30.20781383,23.24596014,24.99012552
30.04273586,34.920252,45.95855667
30.98241642,19.78518159,57.92722948
56.62009217,37.33476199,52.17813948
28.16816225,53.41525078,28.11271895
37.29564814,42.02009975,40.62634228
65.95911513,40.72041169,28.06317701
56.50152273,35.01769979,21.20988522
34.05397857,25.87174352,74.73988583
27.15872055,28.01799953,56.12565924
15.08122536,60.50217002,59.79632385
34.50369025,25.95183232,90.89558529
14.71808508,30.84148425,32.39460488
25.33042197,21.45471534,123.8211783
33.22871898,34.64826966,35.20387084
49.27683504,23.58774978,54.26553598
13.19610985,43.38936449,61.11647255
98.04054017,39.51566107,37.56976983
12.22454374,11.70672803,82.95606265
40.08396543,24.57722417,21.96234001
36.79503904,28.00899794,36.28805873
13.99196741,57.56757394,29.57185171
26.28142327,27.99367174,42.41523145
22.12011082,21.71011671,18.22389306
48.66414816,23.29058707,36.13995536
26.86954128,45.39723034,51.13795229
36.78089094,29.32579484,34.00428123
40.00343958,35.52478287,97.31720042
21.35457105,17.95336518,36.15373754
19.75043833,94.69645439,29.56664904
72.42762172,33.25509934,50.7664532
36.0216032,25.90297924,46.46035789
39.48621503,71.86347107,20.31177913
31.32711269,16.87481521,41.99874498
20.9267461,23.0430419,27.00996386
28.71375008,31.10705505,32.54965472
32.45201214,92.40795061,32.86734351
44.00358721,62.29659417,50.56170568
36.2501366,28.89351112,42.60155323
19.54707231,42.0034401,103.4532617
56.22229671,18.44442841,26.30849074
10.35901822,34.41717227,63.5883
33.41810774,63.54878723,34.99647061
57.12407723,42.60401413,57.44863497
37.95299872,38.46147593,32.96907485
49.12273775,33.78413755,71.43921987
37.91070858,27.0403951,40.74185809
44.19169221,41.90820953,84.27899346
50.44405675,46.72437493,20.76061416
72.08134038,16.97197296,35.9962699
37.6752444,44.24493513,33.23336492
35.1848802,33.46100954,48.72451226
20.83375578,55.27527576,23.43208141
27.40179525,38.06945983,34.09267804
46.57225915,47.56882847,50.18472408
23.56303827,18.53397478,37.70571136
19.73649015,41.7097762,80.95524732
41.32515125,23.68175309,23.85916715
24.39120145,21.75897238,40.57936905
53.562322,25.04680471,24.50727752
47.71338501,17.7407639,57.2153214
29.04680075,29.16453333,32.54108311
54.79812892,18.28856878,59.11880042
31.41863331,17.36819215,39.69686608
40.85254399,31.92213754,28.23616594
23.66369104,26.77559639,29.51479757
28.9442235,26.67153265,39.09901488
42.96083907,28.98461737,33.98342477
47.26161402,26.59178458,54.56036215
26.10139947,34.61063158,89.77882335
36.53258083,26.90826585,33.11451313
47.3570348,27.57501693,31.87046353
25.20633001,54.51882514,39.94187968
41.47792125,22.73272214,35.04193024
15.6609563,15.60726309,48.06394721
38.95711464,44.24476954,82.40766596
57.07497966,31.15186048,57.66180613
58.60232494,22.05734281,17.03031657
60.16999348,36.12135085,24.51741846
50.83492624,15.3425218,48.39985636
19.0957565,52.37727725,23.96657825
20.01313983,18.47041744,33.36588214
70.00592896,23.70970524,24.24294543
23.76899082,51.09247819,80.91934519
108.8361483,58.68013679,53.97102061
39.3735492,35.27124586,13.70861391
56.46758268,59.00603399,61.26250209
18.41967297,15.84437072,15.35204744
32.81324066,36.35596638,31.2585177
33.93527615,57.82343655,24.19816609
14.53066564,44.96057837,59.1525871
27.22846594,38.76158599,22.00588891
31.37841696,34.85010368,43.9087542
45.12986469,33.65611787,122.3195093
33.37948726,39.68521087,43.54222253
42.20477428,65.58808085,26.80687721
45.85951631,25.19494147,37.40855983
19.78408069,31.49836493,41.47844429
19.8817376,27.27647664,50.08374872
34.03169326,27.38968139,34.20956779
44.73834363,49.88758945,49.56758384
28.7814955,32.05173811,72.70018934
33.08400242,22.56776151,16.79303902
38.96995359,17.06535733,80.0194472
37.24136116,32.75560475,44.28980871
50.12100545,35.01439657,33.18093135
25.9927111,18.60994002,50.56907829
39.33472137,68.44277553,28.20468556
36.69196632,33.93075149,57.24212789
61.5816194,25.86835776,37.35353218
21.35423344,26.78942482,50.81299462
78.18570245,31.18668476,46.81460271
42.56184085,41.42756058,36.69890545
16.46741847,13.83520433,51.63788997
70.36908463,48.16187737,50.9987831
62.34193294,29.50955258,67.95704711
28.75885965,43.22130366,19.52468247
34.310877,17.04384464,19.8774653
21.63370316,21.95370255,48.5575916
71.40332179,30.39264045,34.92923547
76.7882631,16.0969669,33.69173896
48.73067166,19.06042272,16.89432898
65.1634474,25.4059646,25.05695409
24.10553784,48.55995461,19.35454352
38.55772254,25.29070111,41.8676184
37.51392424,21.5494772,34.65253472
88.69688464,24.25736666,32.85480909
24.79479567,46.10435021,25.94379517
71.35306298,28.21536017,48.13713411
22.24041144,33.64329973,38.44847167
42.09615272,27.70334695,65.78695877
15.79651552,23.99631248,40.03737012
29.72613547,16.75822487,71.52787189
87.66551654,23.27278998,31.10128759
14.5262359,22.49826579,20.82916016
19.41085224,58.58011398,68.13507867
38.79828345,25.86601754,24.86610417
60.06065131,50.3621489,32.94269892
20.05216528,25.65925826,34.61774533
31.54253492,34.59015917,38.908183
63.05453136,40.64780733,67.65035029
18.93213339,29.22870447,128.436903
19.6831767,50.20663561,21.28307995
19.10007279,35.58875321,22.18416429
23.55383115,37.56763044,23.3352075
27.60057596,29.90431614,27.07127349
25.30588785,27.62135703,18.26940999
32.51561572,52.34120855,55.9064844
25.87846288,46.92546295,25.8014768
41.45733959,36.94097893,13.21215584
20.97100024,22.05216975,24.19445728
33.95605149,62.65000791,24.32533362
37.37545011,28.30310374,41.62066955
39.3803523,29.71083848,40.97428837
60.94107266,40.36540346,62.45306041
46.48025929,16.5124284,41.47002651
31.23210779,23.30434922,28.19557025
44.6114495,21.63427194,29.74156986
78.16210267,33.35624475,47.13923461
37.78118479,18.92015646,74.22533437
17.49406221,20.67613265,40.66825177
53.91693267,69.67138553,19.58167625
87.10912345,26.64219114,35.47859651
122.6492353,32.84272634,13.27881164
65.94627472,32.64425842,78.43653777
34.26179668,35.96673213,39.52579753
28.56006371,28.06158971,24.35258404
51.29037062,16.46919573,30.2818272
50.16295551,43.25007564,20.121656
14.15241975,24.10050954,46.55249013
43.37301365,29.22401134,48.32062656
33.43510068,30.28599469,45.1418135
16.35484404,79.96894917,34.46183299
34.6461653,41.98299747,63.69335988
23.89633571,37.04740749,49.63383661
27.30184862,43.79984729,38.11068272
20.74441269,37.04193748,87.97076895
28.58691467,36.50538426,44.56152915
32.84808212,29.46046075,35.14642905
56.27979461,30.0983447,86.86489182
59.74835715,47.85831039,33.15107672
29.39556087,37.40954054,44.84400445
25.72205974,45.63482404,63.05001641
41.16828179,81.66534074,26.22281798
14.14170593,69.4909101,20.74917332
29.44580345,47.78001159,20.46880849
28.7570929,29.03833057,35.78960298
25.32811826,49.38854717,52.09000217
18.87846225,72.73573204,33.89327623
65.74421333,25.26681915,91.07977757
27.08852301,23.86690448,51.6468777
23.63481971,23.15824391,26.903474
31.35056274,24.04067829,56.38737111
