COT4,COT3and4,COT9
28.8254097,49.46118651,76.24280515
20.32431172,29.0227106,32.17768204
58.20257202,70.43791378,20.57073252
48.82082624,17.23612604,16.13025997
38.74647171,60.53676264,28.1768105
21.30409393,49.59464486,49.81117846
17.46720241,22.63198473,29.28257744
47.69634467,42.70739879,67.74255834
64.54024892,23.00829158,49.22832327
48.26159216,20.01176705,35.19290011
15.9719651,57.51899405,20.94917047
24.51490444,51.05509621,35.57349196
34.44987862,32.73426725,35.93421258
42.23900473,23.29619743,23.06122837
58.62780242,27.30791904,46.83644231
58.31882281,13.91796981,28.29449016
36.5635574,28.2917573,99.73230951
15.14889271,29.70149248,45.68560069
36.21322039,27.4095344,58.14192981
26.61786848,40.68821566,44.12078316
31.25668397,23.37308587,40.64967138
20.15381132,20.06662875,36.16734045
53.30905546,55.17037762,27.5671466
33.96121735,21.87983236,33.30562681
14.98896777,68.25507639,33.68514292
33.44722449,22.08119257,32.10879317
57.47793358,11.10113301,18.08869342
14.76430246,25.54039863,94.94955268
29.54754408,36.09479389,106.1911529
50.91347362,13.59238495,31.18142586
59.31946971,49.32744925,25.65251164
30.80085372,24.12296839,51.45025046
18.62342961,21.77357295,42.10543953
65.92472192,59.65197342,39.79797889
40.69126022,22.21805949,34.36510998
65.01564883,12.81099376,44.8312003
46.15328294,38.7533553,56.30823705
27.06497641,11.73911947,20.27457242
44.56776736,8.229413663,47.59123573
23.61977723,42.58562243,41.60719278
31.63672595,34.21583012,55.01308034
29.28454166,57.00935787,28.35041811
50.78580561,18.16284238,69.80618027
51.23831142,19.58783316,19.35121837
25.68822103,37.24694242,63.71949991
78.05593505,25.61245583,112.6920059
32.17369976,15.76061643,33.38305105
56.19587866,16.45611707,23.24071486
35.46136086,15.41130371,39.48514912
16.80317971,24.418605,30.12576372
20.07438768,37.15565936,14.63984377
48.38096949,33.22426044,46.45658025
50.42143181,40.50099847,22.34209463
71.4055471,21.60833576,29.33405669
65.72483199,33.91719002,44.09227815
17.96950108,21.62330616,24.12804358
32.00385841,27.28261318,73.82295876
50.66556261,24.90769052,47.89191675
40.13463621,14.38334244,53.85645581
107.7066221,21.7670646,15.38940348
15.57127034,23.87461689,59.55503967
31.06337888,63.96871667,23.07364661
29.50252804,26.79253543,51.50609666
28.21486252,60.31889824,52.18474334
34.39408724,63.38778179,32.3865873
37.0180145,30.59060859,23.21317393
15.32016517,22.06111473,27.05299137
16.02673787,74.19823641,14.69445787
31.96959614,36.96198656,26.02827173
80.59121966,25.42514191,52.95048146
36.6266449,39.66206289,80.23845262
33.33197987,37.56558375,35.09452832
27.48543581,19.86530454,36.42766188
24.89189674,30.77134747,25.0579218
33.76079701,32.63699262,19.17439503
46.85274556,40.76613468,10.70789403
77.32956084,46.10832218,41.35226567
28.08955536,37.85719676,44.51807932
25.51483746,24.05310577,35.23375328
19.68212481,51.52632548,32.40715063
14.42925947,28.93148967,37.75333651
36.22983189,18.23476694,16.55358657
35.52088798,48.73816822,34.87446723
57.94268645,20.11531598,62.3117704
44.84066802,35.98735768,41.58649136
61.48782071,50.07115511,37.26347057
52.46763555,25.00794578,24.4314119
30.47614972,26.94437805,49.17093461
35.46670327,25.15759305,65.96412692
36.25746074,46.14988051,36.57546476
27.52082754,18.21271191,52.69545216
43.2088802,20.09507483,38.53969514
31.30012716,22.85247421,29.68543118
21.84326161,37.51671679,22.28430398
44.68698577,21.08820037,39.74166709
20.22000939,30.98073817,72.82168675
19.15740569,39.156277,79.0648541
30.96416405,22.72128896,44.33087055
25.06668283,41.93196149,39.58078368
26.68581631,17.42568207,32.76481429
27.87532219,40.31810645,39.59526372
49.40193585,34.94510746,15.53087119
34.94085134,39.75718576,23.39811005
41.73652433,40.60891675,64.65866148
50.75203236,18.59571921,71.82577433
35.95596959,81.25344984,49.46758957
21.21669307,58.39073061,24.28412584
18.49675083,35.09602179,32.88339914
24.86598899,21.88088488,26.11005269
56.23178042,47.58578001,59.11442168
35.77840231,13.44574334,42.47882343
27.54072758,19.99509649,25.44725371
26.27640829,20.65641417,36.92982463
26.62429762,58.09337135,62.50423153
47.25739069,32.42407242,44.90987595
45.48793826,29.34705608,27.59521508
22.98037455,21.34930625,33.68053623
32.62957562,53.93967174,23.42618144
46.73330946,17.17535454,34.1544168
38.49476998,45.68221139,28.20873219
21.69159773,25.0835317,37.12412487
33.40466413,64.44302379,30.13519716
44.68150645,28.73847636,35.05052522
56.47303605,51.36468003,20.69355419
29.05310303,39.24454179,12.79247114
65.03617347,18.04437199,68.07577067
20.03650801,14.93283373,48.23309184
18.00612772,26.69027415,36.04254943
56.76305971,27.89018602,26.01942022
15.5991952,17.24868405,33.85532503
35.51783481,21.88322879,13.6524314
52.38581964,63.47863738,22.42824218
29.20491808,19.80865781,30.71035291
17.67046754,42.98729006,35.08769785
56.44331435,17.82748155,35.73028111
21.7313867,18.27376458,28.86085157
55.57962474,28.85436722,47.37895707
21.59594055,28.81471247,53.18275337
26.8162426,51.35346823,34.76702928
18.03192094,51.00939115,37.38915835
31.79148363,31.35759612,30.85344066
86.24379601,52.26549949,34.52146972
31.19406328,40.97209388,46.15584514
23.04972642,39.43487508,29.75325271
45.69985216,22.4329037,49.28819515
19.54764713,21.67835969,20.58563325
29.51921542,28.91864583,54.188284
23.64006395,31.61213475,34.3649748
54.57236639,26.88655931,66.98733731
19.92064867,52.56782465,43.01351741
49.39400562,47.99457072,37.2522618
22.09615224,29.38273654,53.73854116
42.15877963,21.79840001,34.89442201
71.190084,29.61639137,74.09727806
24.14306557,65.96729577,27.27867522
37.98778379,82.04644521,50.65045488
39.52443453,24.74373998,61.73785082
18.96707837,37.15577244,60.5400313
24.01090718,16.56472247,31.55330833
18.80854653,15.02535243,55.11215476
25.18394183,20.92480514,85.18125608
25.24213876,11.84571472,39.44198568
23.64568138,36.98455778,60.14292229
32.55729615,34.02210553,74.46976297
39.45539577,59.74355377,21.84621661
49.81887226,35.89738747,10.67419666
22.1945527,17.47070364,41.56562361
60.46018745,24.9427553,59.98635012
31.23857909,52.22699091,50.97271846
33.61056213,29.22849065,26.70609693
29.94845042,44.0009262,34.35559803
51.28916343,35.05186759,22.71553602
39.84080568,18.1644364,38.81294649
56.43302282,23.24184999,34.63929519
23.58052085,50.50366827,48.62409137
44.86384886,19.2121413,22.80505555
22.10255199,39.89533485,25.71056014
24.36437925,31.09156077,79.67020422
28.92909637,43.64767537,30.96604717
38.53453691,20.72467907,46.86752824
55.90677638,17.01885526,22.62461322
