year,id
2016,1284-3-19-c-2
2016,1349-1-16-c-2
2016,1352-3-5-c-1
2016,1415-2-5-6-3
2016,1414-3-3-16-3
2016,1481-2-e-11-3
2020,1544-1-12-17-1
2016,1544-1-18-1-4
2020,1413-1-6-15-2
2020,1415-3-12-4-1
2020,1482-4-4-3-2
2020,1352-2-10-4-3
2016,1348-2-1-d-4
2016,1349-2-b-9-3
2016,1350-1-1-7-1
2020,1351-4-11-11-3
2020,1351-4-2-13-4
2020,1414-3-15-11-1
2020,1417-3-a-7-2
2016,1480-1-19-10-1
2016,1480-4-11-5-1
2018,1943-3-f-b-2
2012,1610-1-13-13-3
2020,1349-4-d-2-1
2020,1483-1-8-10-3
2016,1612-3-12-a-3
2016,1678-3-9-19-3
2016,1611-2-17-19-4
2016,1678-4-e-4-3
2016,1548-2-e-d-4
2016,1743-1-12-16-4
2016,1747-4-d-18-1
2016,1612-2-16-17-1
2016,1808-3-4-19-3
2016,1809-2-8-d-4
2020,1809-3-a-13-4
2020,1875-4-13-e-3
2020,1876-4-15-f-2
2015,1939-4-8-9-1
2020,1943-4-14-10-4
2019,2004-1-11-1-2
2019,2001-1-6-16-1
2019,2003-1-11-6-3
2019,1945-2-18-1-2
2020,1549-3-e-17-3
2020,1677-1-12-d-3
2020,1677-3-17-12-1
2016,1677-3-d-17-1
2016,1678-2-5-e-4
2012,1745-4-7-9-4
2012,1746-1-5-11-4
2016,1811-1-18-f-1
2016,1809-2-3-7-1
2012,1811-2-3-b-3
2020,1812-1-b-17-1
2012,1874-4-3-19-4
2016,1878-2-b-5-3
2016,1877-2-10-a-2
2020,1878-1-13-18-2
2020,1940-3-4-14-2
2016,1943-3-b-18-1
2011,2002-2-f-12-4
2020,1549-3-6-16-3
2016,1548-4-19-e-3
2012,1746-1-e-5-3
2020,1746-3-8-8-1
2011,1938-3-7-b-1
2015,1939-1-17-e-4
2016,1940-4-e-8-4
2012,1942-3-11-14-3
2016,2000-4-5-9-2
2020,1875-4-19-e-1
2020,1678-4-1-18-3
2020,1680-3-1-4-1
2012,1745-3-3-d-4
2012,1808-3-e-11-1
2020,1810-2-9-13-1
2016,1874-2-a-1-4
2016,1875-1-17-1-2
2012,1876-2-7-17-3
2011,1934-2-c-14-2
2015,1938-2-10-17-2
2019,1939-1-9-b-4
2020,1879-2-12-14-4
2012,1813-2-2-b-2
2012,1813-3-11-10-4
2011,1937-2-7-f-4
2019,1937-4-14-f-4
2015,1940-1-7-15-1
2012,1942-3-18-7-1
2016,1942-3-2-c-4
2020,1744-1-8-4-3
2016,1615-1-17-f-4
2020,1679-4-f-d-3
2016,1743-4-a-15-1
2020,1745-2-4-16-2
2012,1745-4-3-a-2
2020,1746-2-e-8-4
2012,1809-1-19-16-3
2016,1811-3-1-12-1
2020,1878-2-3-17-1
2016,1813-1-11-17-4
2012,1879-1-11-c-2
2011,1936-4-f-4-4
2015,1748-3-16-5-1
2016,1943-3-f-11-4
2016,1548-4-17-5-3
2011,1938-3-f-4-2
2015,1939-3-10-15-3
2016,1941-3-16-6-1
2020,1942-1-5-b-1
2012,1943-3-18-4-2
2020,1615-1-17-7-1
2020,1678-3-4-3-3
2020,1679-1-3-9-4
2012,1743-2-12-11-3
2020,1743-3-11-f-4
2016,1745-1-17-4-3
2015,2000-2-b-16-4
2019,2004-1-e-16-3
2012,1809-4-15-11-1
2015,1748-1-c-5-4
2020,1808-2-9-17-2
2016,1810-1-d-d-4
2012,1810-4-16-14-4
2012,1813-3-f-2-4
2020,1879-4-b-14-3
2020,1743-1-f-5-3
2020,1808-2-8-15-4
2016,1809-3-19-18-4
2016,1812-3-9-14-1
2012,1812-4-11-2-2
2016,1875-2-d-10-1
2012,1878-1-8-5-2
2020,1943-4-6-10-3
2020,1614-1-7-13-3
2012,1742-4-5-c-3
2016,1743-2-11-e-1
2020,1812-4-a-16-2
2012,1745-2-8-3-1
2016,1877-1-c-5-2
2015,1935-1-d-3-4
2019,1940-1-13-4-3
2011,1940-1-17-1-3
2016,1944-4-d-16-2
2020,1745-2-12-8-4
2012,1874-2-13-5-3
2019,1935-1-c-f-1
2019,2001-1-10-d-4
2015,2004-1-2-18-3
2012,1943-4-3-2-4
2020,1679-1-18-1-3
2016,1548-3-14-d-2
2012,1875-4-2-19-2
2016,1878-4-18-11-3
2012,1943-1-e-a-3
2016,1876-1-13-11-1
2020,1876-1-e-b-4
2012,1876-2-10-5-2
2012,1876-3-7-1-4
2020,1877-3-a-15-3
2012,1878-1-13-16-2
2012,1878-4-13-1-1
2020,1548-4-a-3-1
2020,1613-3-12-b-3
2020,1613-4-13-c-3
2020,1614-1-1-1-4
2020,1679-1-16-10-4
2016,1879-1-15-17-1
2016,1879-4-10-7-1
2015,1880-3-18-1-2
2011,1935-1-9-11-3
2019,1935-3-8-19-3
2015,1935-4-19-12-3
2020,1679-1-18-b-2
2016,2000-3-e-14-3
2019,1945-2-d-14-3
2019,2003-1-b-1-2
2011,2001-2-5-d-4
2019,1937-3-4-3-3
2011,1938-3-1-17-4
2011,2004-1-7-11-3
2011,2004-2-b-11-3
2012,1941-4-16-9-1
2012,1945-4-1-8-4
2016, 1549-3-9-e-2
2012,1614-1-7-10-1
2012,1679-2-17-7-2
2020,1679-4-a-b-1
2020,1680-1-e-3-4
2012,1680-3-f-f-3
2016,1743-1-17-3-2
2020,1744-1-11-16-3
2016,1744-3-10-3-4
2016, 1744-3-b-e-1
2020,1746-3-5-4-2
2012,1747-1-10-14-4
2020,1808-4-14-6-1
2020,1809-1-1-e-1
2020,1809-2-9-d-4
2012,1810-2-c-11-4
2020, 1811-1-16-12-4
2020,1811-1-6-19-2
2016,1811-4-15-e-1
2016,1812-1-10-4-1
2016,1812-2-13-4-2
2020,1812-2-2-16-2
2012,1812-2-d-7-2
2012,1812-3-14-e-2
2016,1812-4-f-4-1
2019,1814-3-12-17-1
2019,1873-2-19-18-4
2012,1874-3-4-1-4
2016,1875-2-8-15-3
2016,1875-3-d-7-2
2016,1876-1-12-1-2
2016,1940-2-19-16-2
2011,2000-1-e-8-2
