LLR_ID,MLRA_ID,id,distance_m,intersection_m2,in_march_build,in_today_build
F,56,1868-251c,0,1626.6138839162886,TRUE,TRUE
F,56,1868-257d,0,820.4010889902711,TRUE,TRUE
F,56,1868-25de,0,287.437696762383,TRUE,TRUE
F,56,1868-263f,0,27.72370720980689,TRUE,TRUE
F,56,1868-26a0,4.99447612923883,0,FALSE,FALSE
F,56,1869-249e,3.4771769302397475,0,FALSE,FALSE
F,56,1869-2527,0,22.19002536125481,TRUE,TRUE
F,56,1869-2655,0,1299.65225032717,TRUE,TRUE
F,56,1869-26ea,0,1159.4337526690215,TRUE,TRUE
F,56,1871-2545,0,3097.48369397223,TRUE,TRUE
F,56,1873-24c0,0,1253.586886703968,TRUE,TRUE
F,56,1873-2656,0,2000.4557962827384,TRUE,TRUE
F,56,1873-26af,2.5820319458377123,0,FALSE,FALSE
F,56,1934-11b1,0,0.18477031809743494,FALSE,TRUE
F,56,1934-1531,0,3006.804880782962,TRUE,TRUE
F,56,1934-16c1,0,1416.397667761892,TRUE,TRUE
F,56,1934-17f2,0,1412.3433574028313,TRUE,TRUE
F,56,1934-1857,0,2494.197799935937,TRUE,TRUE
F,56,1934-19e9,0,359.9821244329214,TRUE,TRUE
F,56,1934-1e36,0,662.5147385597229,TRUE,TRUE
F,56,1934-1eff,0,279.0812440663576,TRUE,TRUE
F,56,1934-202d,0,73.62480407208204,TRUE,TRUE
F,56,1934-21bd,0,70.91493058763444,TRUE,TRUE
F,56,1934-3b0,0,1443.933115541935,TRUE,TRUE
F,56,1934-860,0.7657151276139906,0,FALSE,FALSE
F,56,1934-aa,0,4461.1338058672845,TRUE,TRUE
F,56,1934-b29,0,4279.530610464513,TRUE,TRUE
F,56,1934-f0e,0,2195.295669194311,TRUE,TRUE
F,56,1935-18a,5.167374183419487,0,FALSE,FALSE
F,56,1935-1a28,0,1434.8905402570963,TRUE,TRUE
F,56,1935-1c1d,0,2132.7390123680234,TRUE,TRUE
F,56,1935-336,0,2.616520212031901,TRUE,TRUE
F,56,1935-3bc,0,3940.317550636828,TRUE,TRUE
F,56,1935-533,0,818.3774065114558,TRUE,TRUE
F,56,1935-5b,6.565709485995158,0,FALSE,FALSE
F,56,1935-600,0,562.8346308227628,TRUE,TRUE
F,56,1935-6cd,0,354.98236508481205,TRUE,TRUE
F,56,1935-79b,0,768.2435183511116,TRUE,TRUE
F,56,1935-a88,8.073935334466752,0,FALSE,FALSE
F,56,1936-10da,0,3473.518181219697,TRUE,TRUE
F,56,1936-12b4,0,228.1434790175408,TRUE,TRUE
F,56,1936-16f5,0,412.08696891367435,TRUE,TRUE
F,56,1936-1d87,0,3663.6693107262254,TRUE,TRUE
F,56,1936-1de9,0,22.95129813393578,TRUE,TRUE
F,56,1936-1fd4,0,1529.2307491712272,TRUE,TRUE
F,56,1936-2009,0,1121.6638257354498,TRUE,TRUE
F,56,1936-245d,0,2570.320746280253,TRUE,TRUE
F,56,1936-2666,0,1447.4589728042483,TRUE,TRUE
F,56,1936-a23,1.454266959968334,0,FALSE,FALSE
F,56,1937-1001,0,3966.160142697394,TRUE,TRUE
F,56,1937-106b,0,4862.844596222043,TRUE,TRUE
F,56,1937-31,0,1883.0608048513532,TRUE,TRUE
F,56,1937-3c7,0,7.423183265840635,TRUE,TRUE
F,56,1937-5c6,9.699048248721253,0,FALSE,FALSE
F,56,1937-62e,0,401.565866259858,TRUE,TRUE
F,56,1937-a1d,0,3358.4842092618346,TRUE,TRUE
F,56,1937-f43,5.563491994727351,0,FALSE,FALSE
F,56,1937-fa6,0,1918.4036624580622,TRUE,TRUE
F,56,1938-1260,0,3450.6317232251167,TRUE,TRUE
F,56,1938-12c6,2.561949929206711,0,FALSE,FALSE
F,56,1938-19c1,0,3714.9048134982586,TRUE,TRUE
F,56,1938-7b2,7.718834701448209,0,FALSE,FALSE
F,56,1938-b19,0,949.0359431952238,TRUE,TRUE
F,56,1938-ef4,0,2516.914833776653,TRUE,TRUE
F,56,1939-13ee,0,216.37428128812462,TRUE,TRUE
F,56,1939-77e,0,3502.778464987874,TRUE,TRUE
F,56,1939-970,0,1353.5073543302715,TRUE,TRUE
F,56,1939-db8,0,354.1567354556173,TRUE,TRUE
F,56,2000-10f1,0,107.7007798999548,TRUE,TRUE
F,56,2000-1fc1,0,69.05317597836256,TRUE,TRUE
F,56,2000-1ffa,0,91.6279237694107,TRUE,TRUE
F,56,2000-2058,0,1921.5752223264426,TRUE,TRUE
