scene_id,center_lon,center_lat,state 0,state 1,state 2,state 3,state 4,state 5,state 6,state 7,tree_percentage,transition_class,random_set,cover_class,CLUSTER_ID,random,Type
1615-1-e-6-3,-97.37846617,43.91777458,1035476,18,0,18,33,0,59,32506,3.05%,1,0,c3_>=1%,0,0.012910363,Validation
1549-1-10-16-2,-97.69689749,43.15238653,1038748,0,0,190,31,0,0,27057,2.55%,1,0,c3_>=1%,0,0.058736241,Validation
1614-2-d-6-4,-98.11567943,43.90804792,1036515,659,249,324,5527,457,723,20554,2.23%,1,0,c3_>=1%,0,0.168352672,Validation
1935-1-d-3-4,-110.7968847,47.62650372,1309824,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,1,0.437519628,Validation
1812-1-b-17-1,-99.0758539,46.6336334,1057807,0,0,0,0,0,0,4111,0.39%,0,1,c2_0.1-1%,2,0.417308592,Validation
1876-3-3-a-4,-101.4431222,47.69190253,1050103,23,56,22,20,0,63,1307,0.13%,1,1,c2_0.1-1%,2,0.614547278,Validation
1878-4-18-11-3,-98.10974255,48.18169682,1055909,0,0,0,0,0,0,10057,0.94%,0,0,c2_0.1-1%,2,0.061259656,Validation
1746-4-14-3-2,-97.87933803,46.22217502,1064089,0,17,0,1845,0,919,1246,0.23%,1,0,c2_0.1-1%,2,0.05375077,Validation
1742-2-19-17-2,-103.0109313,45.76551476,1186666,0,0,0,395,0,0,8681,0.74%,1,0,c2_0.1-1%,2,0.064916278,Validation
1808-4-14-6-1,-103.2053596,46.96735007,1186696,43,0,7,0,0,9,8967,0.75%,1,0,c2_0.1-1%,2,0.080122929,Validation
1810-2-9-13-1,-100.6023284,46.4824187,1008353,0,0,0,0,0,0,47397,4.49%,0,1,c3_>=1%,2,0.465281766,Validation
1878-3-f-8-2,-98.59357756,47.94670261,1047502,357,0,682,0,0,0,15379,1.50%,1,0,c3_>=1%,2,0.034726947,Validation
1944-4-14-a-2,-97.90594175,48.95730546,996562,0,0,0,17443,0,0,53961,5.60%,1,0,c3_>=1%,2,0.084674688,Validation
